Date,Open,High,Low,Close,Adj Close,Volume
2019-06-02,175.600006,191.919998,170.270004,190.149994,187.907410,154348200
2019-06-09,191.809998,196.789993,190.300003,192.740005,190.466873,111811700
2019-06-16,192.899994,200.850006,192.169998,198.779999,196.435623,131658900
2019-06-23,198.539993,201.570007,195.289993,197.919998,195.585770,117368500
2019-06-30,203.169998,205.080002,200.649994,204.229996,201.821350,72879400
2019-07-07,200.809998,204.389999,198.410004,203.300003,200.902344,101600700
2019-07-14,204.089996,206.500000,202.360001,202.589996,200.200699,87433200
2019-07-21,203.649994,209.729996,203.610001,207.740005,205.289978,87153200
2019-07-28,208.460007,221.369995,201.630005,204.020004,201.613846,219770500
2019-08-04,197.990005,203.529999,192.580002,200.990005,198.619583,173211400
2019-08-11,199.619995,212.139999,199.149994,206.500000,204.839920,161088600
2019-08-18,210.619995,214.440002,201.000000,202.639999,201.010971,141905000
2019-08-25,205.860001,210.449997,203.320007,208.740005,207.061920,109989600
2019-09-01,206.429993,214.419998,204.220001,213.259995,211.545578,82487100
2019-09-08,214.839996,226.419998,211.070007,218.750000,216.991455,175366900
2019-09-15,217.729996,223.759995,217.470001,217.729996,215.979630,142290500
2019-09-22,218.949997,222.490005,217.139999,218.820007,217.060898,116445200
2019-09-29,220.899994,228.220001,215.130005,227.009995,225.185043,158621700
2019-10-06,226.270004,237.639999,224.330002,236.210007,234.311081,147176400
2019-10-13,234.899994,238.130005,233.199997,236.410004,234.509491,105677400
2019-10-20,237.520004,246.729996,237.320007,246.580002,244.597717,97030500
2019-10-27,247.419998,255.929993,237.259995,255.820007,253.763443,163555400
2019-11-03,257.329987,260.440002,255.369995,260.140015,258.048706,105990200
2019-11-10,258.299988,265.779999,258.279999,265.760010,264.415009,115333400
2019-11-17,265.799988,268.000000,260.399994,261.779999,260.455139,113956300
2019-11-24,262.709991,268.000000,262.500000,267.250000,265.897461,75270300
2019-12-01,267.269989,271.000000,256.290009,270.709991,269.339935,114149800
2019-12-08,270.000000,275.299988,264.910004,275.149994,273.757477,142029400
2019-12-15,277.000000,282.649994,276.980011,279.440002,278.025757,183180000
2019-12-22,280.529999,293.970001,280.369995,289.799988,288.333313,96609500
2019-12-29,289.459991,300.600006,285.220001,297.429993,295.924713,131680800
2020-01-05,293.790009,312.670013,292.750000,310.329987,308.759399,167522900
2020-01-12,311.640015,318.739990,309.549988,318.730011,317.116943,163013900
2020-01-19,317.190002,323.329987,315.649994,318.309998,316.699036,115921300
2020-01-26,310.059998,327.850006,304.880005,309.510010,307.943604,216683700
2020-02-02,304.299988,325.220001,302.220001,320.029999,318.410339,163134600
2020-02-09,314.179993,327.220001,313.850006,324.950012,324.072754,123065900
2020-02-16,315.359985,324.649994,310.500000,313.049988,312.204865,119158800
2020-02-23,297.260010,304.179993,256.369995,273.359985,272.622009,349603500
2020-03-01,282.279999,304.000000,277.720001,289.029999,288.249725,323450200
2020-03-08,263.750000,286.440002,248.000000,277.970001,277.219574,404209900
2020-03-15,241.949997,259.079987,228.000000,229.240005,228.621140,405065900
2020-03-22,228.080002,258.679993,212.610001,247.740005,247.071182,346047500
2020-03-29,250.740005,262.489990,236.899994,241.410004,240.758270,209252700
2020-04-05,250.899994,271.700012,249.380005,267.989990,267.266510,183929800
2020-04-12,268.309998,288.250000,265.829987,282.799988,282.036530,207386800
2020-04-19,277.950012,283.010010,265.429993,282.970001,282.206085,169846800
2020-04-26,281.799988,289.670013,278.200012,287.730011,286.953247,91593300
